the-destruction-of-sodoma	A Destruição de Sodoma / The Destruction of Sodoma	biblia	1993	óleo s/tela e moldura / oil on canvas & frame		69 cm. X 38.5 cm.	Coleção Particular / Private Collection
the-12-tribes	As 12 Tribos / The 12 Tribes	biblia,obras-disponiveis	1994	Óleo s/tela com moldura antiga / Oil on canvas with an ancient frame		34 cm x 44 cm	
am-i-dreaming	Estarei Sonhando? / Am I Dreaming?	biblia,interiores,obras-disponiveis	1995	Óleo e colagem s/tela e moldura / Oil & collage on canvas & frame		80 cm x 63 cm	
the-park	O Parque / The Park	biblia	1999,2000,2001,2002,2003,2004	Óleo s/tela e moldura / Oil on canvas & frame		44 cm x 34 cm	Coleção Particular / Private Collection
the-salvation-of-moses	A Salvação de Moisés / The Salvation of Moses	biblia	1994	Óleo s/tela / Oil on canvas		35 X 45	
the-flood	O Dilúvio / The Flood	biblia,obras-disponiveis	1993	Óleo s/ tela e moldura / Oil on canvas & frame		56 cm x 36 cm	
paradise-lost	Paraíso Perdido / Paradise Lost	biblia,interiores	1993	Óleo sobre tela e moldura de gesso / Oil on canvas & frame		58 cm x 39 cm	Coleção Particular / Private Collection
here-we-come-again-ii	Oi nóis aqui ‘tra véis II !!! / Here we come again II !!!	diversos,homenagem	1996	óleo s/tela e moldura / oil on canvas and frame		73.5 cm X 63.5 cm	
here-we-come-again-i	Oi Nóis Aqui ‘tra véis I !!! / Here we come again I !!!	diversos,homenagem	1994	óleo s/tela e moldura / oil on canvas and frame		73.5 cm X 63.5 cm	
hora	Hora	diversos,obras-disponiveis,tapetes	2007,2008	Óleo s/tela e moldura c/colagem de tapete /Oil on canvas and frame and carpet gluing		80 cm x 65 cm	
a-flowered-quilt	A Flowered Quilt	diversos,interiores	2008	Óleo s/tela s/eucatex e moldura / Oil on canvas on masonite and frame		65.5 cm X 58.5 cm	Coleção Particular /Private Collection
the-ahwahnee	THE AHWAHNEE	diversos,homenagem	1992	óleo s/tela e moldura / oil on canvas & frame		43 cm x 34 cm	Coleção Particular / Private Collection
shabat-cuzquenho	Shabat Cuzquenho	diversos,interiores	2003	óleo s/tela e moldura / oil on canvas & frame		33 cm X 43 cm	Coleção Particular / Private Collection
sincretissimo	Sincretíssimo	diversos	2002	Oleo s/tela / Oil on canvas		70 cm. X 50 cm.	Coleção Particular / Private Collection
fans	Leques / Fans	diversos,obras-disponiveis	2006	Óleo e colagem s/caixa de madeira / Oil & collage on wood box		73.5 cm x 48.5 cm	
time-will-tell	Time will Tell	diversos,obras-disponiveis	2001	Óleo s/tela com moldura antiga / Oil on canvas with an antique frame		34 cm x 24 cm	
5-oclock-tea	5 o’clock Tea	diversos,obras-disponiveis	2009	Óleo e costura s/tela / Oil & sewing on canvas		50 cm x 60 cm	
a-flowered-quilt	A Flowered Quilt	diversos,obras-disponiveis	2008	Óleo s/tela s/eucatex e moldura / Oil on canvas on masonite & frame		58.5 cm x 65.5 cm	
reflection-with-a-suburban-rug	Reflexo com Tapete de Subúrbio / Reflection With a Suburban Rug	diversos,interiores,obras-disponiveis,tapetes	2004	Óleo s/tela e moldura / Oil on canvas & frame		46 cm x 46 cm	
buildings-in-brazil	As Construções do Brasil / Buildings in Brazil	diversos	2000	Óleo s/tela / Oil on canvas		40 cm x 60 cm	Coleção particular / Private Collection
tel-aviv-from-my-window	Tel Aviv From my Window	diversos,objetos,obras-disponiveis	2008,2009	Acrílica s/ tela s/ eucatex e janela / Acrylic on canvas on masonite and wood window		90 cm x 55 cm	
picnic-by-the-river	Piquenique à Beira do Rio / Picnic by the River	diversos,obras-disponiveis	2005	Óleo s/tela e passepartout e moldura / Oil on canvas & passepartout & frame		49 cm x 42 cm	
river-beach	Praia de Rio / River Beach	diversos,praia	2006	Óleo e colagem de kilim e sianinha s/ tela s/ eucatex e moldura / Oil & collage on canvas & masonite on frame		51 cm x 57.5 cm	Coleção Particular / Private Collection
